<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200211;220000;1.0918500;1.0923200;1.0917000;1.0920900;40199
20200211;230000;1.0921700;1.0922000;1.0916000;1.0918600;33758
20200212;000000;1.0919500;1.0920000;1.0913000;1.0914800;19807
20200212;010000;1.0915000;1.0921100;1.0913000;1.0918700;21132
20200212;020000;1.0919000;1.0919200;1.0915900;1.0918900;20327
20200212;030000;1.0918900;1.0919200;1.0910000;1.0912300;41345
20200212;040000;1.0913100;1.0920000;1.0910800;1.0918300;46083
20200212;050000;1.0918100;1.0919900;1.0913000;1.0916100;36753
20200212;060000;1.0915000;1.0918000;1.0913000;1.0915300;25015
20200212;070000;1.0915100;1.0916000;1.0910000;1.0912200;20980
20200212;080000;1.0912300;1.0914400;1.0907000;1.0910500;30766
20200212;090000;1.0910800;1.0910800;1.0904000;1.0905700;33791
20200212;100000;1.0905700;1.0915000;1.0901000;1.0913500;67790
20200212;110000;1.0914700;1.0925600;1.0910000;1.0920800;94565
20200212;120000;1.0921600;1.0923300;1.0910000;1.0920200;73048
20200212;130000;1.0920300;1.0921800;1.0913000;1.0918200;60794
20200212;140000;1.0917500;1.0918500;1.0908000;1.0911900;54483
20200212;150000;1.0911800;1.0914500;1.0908000;1.0912400;54784
20200212;160000;1.0912400;1.0914000;1.0903900;1.0904400;62129
20200212;170000;1.0905000;1.0910500;1.0897000;1.0903800;84166
20200212;180000;1.0903900;1.0904800;1.0885000;1.0894200;119240
20200212;190000;1.0894300;1.0897700;1.0888000;1.0892200;84472
20200212;200000;1.0892300;1.0893600;1.0875000;1.0878800;75915
20200212;210000;1.0878200;1.0881100;1.0874000;1.0876500;44774
20200212;220000;1.0876000;1.0877600;1.0863000;1.0866400;60863
20200212;230000;1.0866400;1.0875000;1.0864000;1.0874100;41278
20200213;000000;1.0875300;1.0875600;1.0870000;1.0873100;32840
20200213;010000;1.0873100;1.0875000;1.0869300;1.0871500;34950
20200213;020000;1.0871700;1.0876000;1.0868000;1.0874700;39420
20200213;030000;1.0874700;1.0876500;1.0870000;1.0872500;54303
20200213;040000;1.0872500;1.0875000;1.0869800;1.0872800;37340
20200213;050000;1.0872800;1.0874000;1.0868000;1.0869800;28101
20200213;060000;1.0869700;1.0871400;1.0866000;1.0869800;29012
20200213;070000;1.0869200;1.0870200;1.0864000;1.0869000;24724
20200213;080000;1.0869000;1.0872000;1.0866000;1.0871000;31964
20200213;090000;1.0871600;1.0873300;1.0868000;1.0871500;35208
20200213;100000;1.0871600;1.0879500;1.0869000;1.0879200;67612
20200213;110000;1.0878000;1.0888000;1.0874000;1.0886300;71163
20200213;120000;1.0887000;1.0889000;1.0880000;1.0882900;61648
20200213;130000;1.0883000;1.0887700;1.0872000;1.0873100;66992
20200213;140000;1.0873300;1.0875600;1.0854000;1.0857700;82572
20200213;150000;1.0857600;1.0869500;1.0852000;1.0863800;91245
20200213;160000;1.0863800;1.0869200;1.0852000;1.0854800;80111
20200213;170000;1.0854900;1.0861800;1.0846000;1.0854000;91222
20200213;180000;1.0855400;1.0858400;1.0833000;1.0848600;117533
20200213;190000;1.0848600;1.0854200;1.0845000;1.0847300;74459
20200213;200000;1.0846600;1.0848000;1.0838000;1.0842000;60104
20200213;210000;1.0842400;1.0843600;1.0837000;1.0842100;52238
20200213;220000;1.0842100;1.0844400;1.0839000;1.0843300;40510
20200213;230000;1.0842700;1.0845500;1.0839000;1.0841200;42950
20200214;000000;1.0840300;1.0842000;1.0836000;1.0839000;27693
20200214;010000;1.0839600;1.0843000;1.0834100;1.0839900;18386
20200214;020000;1.0840400;1.0842000;1.0836000;1.0840300;25283
20200214;030000;1.0841300;1.0841800;1.0825900;1.0837200;51333
20200214;040000;1.0837800;1.0838400;1.0831000;1.0835000;39770
20200214;050000;1.0835400;1.0837400;1.0833000;1.0836900;31052
20200214;060000;1.0836900;1.0837100;1.0829000;1.0830300;31171
20200214;070000;1.0831100;1.0833200;1.0829000;1.0833100;20737
20200214;080000;1.0833100;1.0837300;1.0831000;1.0837000;26258
20200214;090000;1.0836000;1.0839000;1.0833000;1.0835500;34260
20200214;100000;1.0835300;1.0843300;1.0833000;1.0841000;54869
20200214;110000;1.0841000;1.0843400;1.0831000;1.0843100;62231
20200214;120000;1.0843100;1.0850200;1.0839000;1.0844700;70411
20200214;130000;1.0844800;1.0849300;1.0836000;1.0839000;57725
20200214;140000;1.0839000;1.0844700;1.0835000;1.0836200;56294
20200214;150000;1.0836200;1.0845200;1.0831000;1.0839800;65853
20200214;160000;1.0839200;1.0859700;1.0835000;1.0854900;102952
20200214;170000;1.0855000;1.0861200;1.0849000;1.0856400;85528
20200214;180000;1.0856200;1.0859300;1.0842000;1.0845700;85314
20200214;190000;1.0845700;1.0847000;1.0836000;1.0839000;72746
20200214;200000;1.0839200;1.0843700;1.0831000;1.0843400;54564
20200214;210000;1.0843300;1.0846300;1.0840000;1.0842800;43719
20200214;220000;1.0843700;1.0845600;1.0837000;1.0838800;38568
20200214;230000;1.0839500;1.0841300;1.0835000;1.0837000;39163
20200215;000000;1.0836600;1.0839000;1.0827500;1.0830000;36655
20200215;010000;1.0830100;1.0830100;1.0829700;1.0830100;680
20200216;200000;1.0824000;1.0833900;1.0823000;1.0833900;20
20200216;210000;1.0821000;1.0833900;1.0818900;1.0830000;201
20200216;220000;1.0830800;1.0838400;1.0829000;1.0836000;110
20200216;230000;1.0835000;1.0842400;1.0834000;1.0841000;180
20200217;000000;1.0841900;1.0844000;1.0839000;1.0841000;150
20200217;010000;1.0840100;1.0842000;1.0832000;1.0838100;38212
20200217;020000;1.0838200;1.0842000;1.0834000;1.0840300;24613
20200217;030000;1.0841300;1.0841300;1.0833000;1.0836000;34162
20200217;040000;1.0836000;1.0838100;1.0832000;1.0836500;30217
20200217;050000;1.0836500;1.0840300;1.0834000;1.0838700;26469
20200217;060000;1.0839200;1.0839300;1.0836000;1.0838400;25135
20200217;070000;1.0838500;1.0840700;1.0836000;1.0837600;21950
20200217;080000;1.0837100;1.0841400;1.0836000;1.0839500;22165
20200217;090000;1.0839600;1.0840600;1.0832000;1.0834900;30670
20200217;100000;1.0834400;1.0842200;1.0834000;1.0840700;45133
20200217;110000;1.0839800;1.0846400;1.0835900;1.0846100;55978
20200217;120000;1.0846300;1.0851000;1.0841000;1.0843900;55226
20200217;130000;1.0844200;1.0847400;1.0841000;1.0846100;43030
20200217;140000;1.0846900;1.0848100;1.0835000;1.0839000;50736
20200217;150000;1.0839200;1.0842000;1.0834000;1.0835500;45020
20200217;160000;1.0836100;1.0841000;1.0830000;1.0836100;42996
20200217;170000;1.0836000;1.0841300;1.0833000;1.0839100;44223
20200217;180000;1.0839000;1.0840000;1.0828000;1.0829500;49334
20200217;190000;1.0829400;1.0838000;1.0827000;1.0837400;41249
20200217;200000;1.0837500;1.0840000;1.0830000;1.0832100;33815
20200217;210000;1.0832100;1.0835100;1.0827300;1.0833000;25100
20200217;220000;1.0832000;1.0835600;1.0828500;1.0833700;23188
20200217;230000;1.0832000;1.0834700;1.0829200;1.0833400;24064
20200218;000000;1.0833000;1.0837600;1.0830500;1.0834000;29144
20200218;010000;1.0834000;1.0837800;1.0830700;1.0836400;21621
20200218;020000;1.0837000;1.0837200;1.0833000;1.0835000;24119
20200218;030000;1.0836100;1.0837000;1.0824000;1.0825900;46307
20200218;040000;1.0825900;1.0829000;1.0821600;1.0827600;45970
20200218;050000;1.0827700;1.0829200;1.0821000;1.0828200;39057
20200218;060000;1.0826000;1.0834000;1.0826000;1.0832500;29322
20200218;070000;1.0832300;1.0833100;1.0828000;1.0830000;22530
20200218;080000;1.0830100;1.0832400;1.0827000;1.0831100;22733
20200218;090000;1.0831200;1.0837000;1.0827000;1.0829900;39922
20200218;100000;1.0829100;1.0837300;1.0828000;1.0832800;67381
20200218;110000;1.0832900;1.0835200;1.0823000;1.0825700;82409
20200218;120000;1.0826400;1.0831500;1.0823000;1.0827000;64446
20200218;130000;1.0827200;1.0837000;1.0817800;1.0826700;103074
20200218;140000;1.0825900;1.0835800;1.0823000;1.0824500;66371
20200218;150000;1.0824500;1.0825000;1.0811000;1.0814200;75131
20200218;160000;1.0814000;1.0816900;1.0792000;1.0802000;100007
20200218;170000;1.0802300;1.0808200;1.0783800;1.0807800;95010
20200218;180000;1.0807900;1.0825900;1.0806500;1.0822600;96504
20200218;190000;1.0822900;1.0824100;1.0810000;1.0814500;78035
20200218;200000;1.0814600;1.0814800;1.0801000;1.0803300;55262
20200218;210000;1.0804200;1.0804300;1.0798000;1.0800000;46580
